序号,单词,释义
230,courageous,勇敢的，无畏的
231,emigrate,永久移居国外
232,perpetual,永久的；四季开花的
233,everlasting,永久的；持久的
234,periodic,周期的；一定时期的
235,stiffness,硬度
236,comply,应允，遵照，照做
237,bound,应当的；必定的
238,salute,迎接，欢迎
239,cater,迎合，投合
240,press,印刷机，印刷所
241,printer,印刷工；印花工
242,harbour,隐匿，窝藏；怀着
243,eternal,永久的；不朽的
244,tempt,引诱，诱惑，劝诱
245,cite,引用，引证；举例
246,ignite,引燃vi.着火
247,derivation,引出；起源；衍生
248,banker,银行家
249,obscure,阴暗的；蒙昧的
250,inasmuch,因为，由于
251,through,因为，由于
252,observation,意见，短评，按语
253,consciousness,意识，知觉，觉悟
254,cross,易怒的；杂交的
255,refrain,抑制，制止，忍住
256,restrain,抑制，制止，遏制
257,singular,异常的，奇异的
258,house,议院，会议厅
259,obligation,义务，职责，责任
260,formerly,以前，从前
261,desert,遗弃；擅离(职守)
262,transmission,遗传，传染
263,veil,以面纱遮掩vi.遮盖
264,forsake,遗弃，抛弃，摒绝
265,displace,移置；取代；置换
266,displacement,移置；免职；置换
267,garment,衣服；服装，衣着
268,colonist,移民；殖民地居民
269,Islam,伊斯兰教，回教
270,instrumental,仪器的；有帮助的
271,evenly,一致地，平静地
272,wardrobe,衣柜，衣橱，藏衣室
273,compatible,一致的；兼容制的
274,stitch,一针，缝线vt.缝
275,concert,一齐，一致，协作
276,chop,一块排骨，肉块
277,baby,一家中年龄最小的人
278,troop,一群，一队，大量
279,episode,一段情节；插曲
280,cluster,一串vt.使成群
281,generalization,一般化；概括，综合
282,burglar,夜盗，窃贼
283,amateur,业余的n.业余爱好者
284,Jesus,耶稣
285,metallurgy,冶金学，冶金术
286,fort,要塞，堡垒
287,prescription,药方，处方的药
288,postulate,要求，假定，假设
289,wag,摇，摇摆，摆动
290,cradle,摇篮，发源地
291,oxide,氧化物
292,waver,摇摆；犹豫不决
293,domestic,养在家里的
294,oxidize,氧化，使生锈
295,banquet,宴会，盛会，酒席
296,foster,养育，抚养；培养
297,anode,阳极，正极，板极
298,balcony,阳台；楼厅，楼座
299,scope,眼界
300,proverb,谚语，格言，箴言
301,cloak,掩盖，覆盖，掩饰
302,prolong,延长，拉长，拖延
303,sharply,严厉地，苛刻地
304,pickle,腌制食品，泡菜
305,squash,压碎n.鲜果汁
306,retard,延迟，放慢
307,squeeze,压榨；榨取，佣金
308,dentist,牙科医生
309,overwhelming,压倒的，势不可挡的
310,opium,鸦片；麻醉剂
311,overwhelm,压倒，使不知所措
312,deposit,押金；寄存物
313,velocity,迅速，快速
314,compression,压缩，压紧，浓缩
315,patrol,巡逻n.巡逻，巡查
316,circulation,循环；(货币等)流通
317,scholarship,学问，学识；奖学金
318,cruise,巡航vt.巡航于…
319,option,选择，取舍
320,cigar,雪茄烟，叶卷烟
321,cock,旋塞，开关，龙头
322,quest,寻找vi.追求
323,melody,旋律，曲调；歌曲
324,radiant,绚丽的；容光焕发的
325,gorgeous,绚丽的；极好的
326,overhang,悬于…之上vi.悬垂
327,narration,叙述；故事；叙述法
328,propaganda,宣传；宣传机构
329,warrant,许可证，委任状
330,console,悬臂，肘托；控制台
331,declaration,宣布，宣言；申诉
332,sequence,序列
333,nun,修女，尼姑
334,embroidery,绣花，刺绣；绣制品
335,eloquence,雄辩；口才，修辞
336,requisite,需要的n.必需品
337,pacific,性情温和的
338,survival,幸存，残存；幸存者
339,flush,兴奋，脸红；发烧
340,wind,胸口，心窝
341,formal,形态的；规范的
342,directory,姓名地址录；董事会
343,constituent,形成的n.选民
344,scarlet,猩红色a.猩红的
345,regenerative,新生的；回授的
346,religion,信念，信条
347,appreciation,欣赏；鉴别；感激
348,novelty,新颖；新奇的事物
349,psychology,心理学；心理
350,bridegroom,新郎
351,zinc,锌vt.在…上镀锌
352,novel,新的，异常的
353,jean,斜纹布，牛仔裤
354,crab,蟹，蟹肉vi.捕蟹
355,gradient,斜坡a.倾斜的
356,subscript,写在下方的n.下标
357,evil,邪恶，罪恶；祸害
358,sideways,斜向一边地
359,collaborate,协作，合作；协调
360,vicious,邪恶的；恶性的
361,team,协作，合作
362,coefficient,协同因素；系数，率
363,wedge,楔vt.楔入；挤入
364,calibration,校准；标定，刻度
365,cautious,小心的，谨慎的
366,paragraph,小新闻，短评
367,caution,小心；告诫vt.警告
368,suitcase,小提箱，衣箱
369,decimal,小数的，十进制的
370,puppy,小狗；幼小的动物
371,footpath,小路，人行道
372,closet,小房间；壁碗橱
373,pamphlet,小册子
374,disappearance,消失，消散；失踪
375,recreation,消遣，娱乐活动
376,slack,萧条的；懈怠的
377,consumption,消费(量)，灭绝
378,consumer,消费者，用户
379,token,象征；辅币；纪念品
380,depression,消沉；不景气萧条期
381,forward,向前，将来vt.转递
382,ivory,象牙；牙质；乳白色
383,onwards,向前(的)，在前面
384,orientation,向东；定位；方向
385,defy,向…挑战；蔑视
386,southwards,向南方
387,northwards,向北方a.向北的
388,yearn,想念，怀念，向往
389,hail,向…欢呼vi.招呼
390,pilgrim,香客，朝圣者
391,spice,香料，调味品；香气
392,fragrant,香的，芬芳的
393,analogy,相似，类似；比拟
394,incense,香，熏香；香气
395,uniformly,相同地；一贯
396,resemblance,相似，相似性
397,correlation,相互关系；对射
398,interact,相互作用
399,coincide,相符合；相巧合
400,inversely,相反地
401,striking,显著的，惊人的
402,qualify,限制，限定，修饰
403,reciprocal,相互的；互利的
404,devotion,献身，热诚，专心
405,microscopic,显微镜的，微观的
406,realistic,现实的；现实主义的
407,distinctly,显然，清楚地
408,linear,线的；长度的
409,bacon,咸猪肉，熏猪肉
410,apparent,显然的
411,gossip,闲谈；碎嘴子；漫笔
412,ramble,闲逛，漫步；聊天
413,shower,下阵雨vt.使湿透
414,priority,先，前；优先，重点
415,decline,下倾；偏斜；衰退
416,precede,先于…vi.领先
417,descent,下降；出身；斜坡
418,subordinate,下级的，辅助的
419,slim,细长的；微小的
420,taper,细小的蜡烛；微光
421,petty,细小的；器量小的
422,inferior,下级；晚辈，次品
423,nice,细微的，微妙的
424,filament,细丝；长丝；灯丝
425,bacterium,细菌；拳击迷
426,systematically,系统地，有规则地
427,lace,系带，用带子束紧
428,spectrum,系列，范围；波谱
429,drama,戏剧性事件；戏剧性
430,germ,细菌，病原菌；幼芽
431,theatre,戏剧效果
432,comedy,喜剧；喜剧场面
433,quench,熄灭，扑灭；压制
434,tape,系，捆
435,assault,袭击；殴打n.攻击
436,usage,习惯法
437,extinguish,熄灭，扑灭；消灭
438,absorption,吸收；专注
439,intake,吸入；输入能量
440,substantial,物质的；坚固的
441,physically,物质上；体格上
442,luncheon,午宴，午餐，便宴
443,body,物体；(液)体；实质
444,ignorance,无知，无学，愚昧
445,insignificant,无意义的；低微的
446,doubtless,无疑地；很可能
447,iinfinitely,无限地，无边地
448,ndefinite,无限期的
449,unlimited,无限的；不定的
450,infinite,无限；无穷(大)
451,incapable,无能力的；无资格的
452,fearless,无畏的，大胆的
453,unique,无可匹敌的；极好的
454,innumerable,无数的，数不清的
455,faultless,无过失的；无缺点的
456,inorganic,无生物的；无机的
457,foreign,无关的
458,ruthless,无情的，冷酷的
459,nought,无，零
460,filth,污秽，污物；淫猥
461,snail,蜗牛；行动缓慢的人
462,compliment,问候vt.赞美，祝贺
463,question,问，询问，讯问
464,hum,嗡嗡声vt.哼曲子
465,literal,文字(上)的；字面的
466,illiterate,文盲的n.文盲
467,stationery,文具；信笺
468,plague,瘟疫，鼠疫；天灾
469,situated,位于…的
470,graze,喂草；放牧(牲畜)
471,latitude,纬度；黄纬
472,softness,温和，柔和；软弱
473,commission,委托，委任；委托状
474,locality,位置，地点，发生地
475,vitamin,维生素，维他命
476,stern,艉，船尾；臀部
477,idealism,唯心主义；理想主义
478,unpaid,未付的；不支薪水的
479,Venus,维纳斯；美人；色情
480,bachelor,未婚男子；学士
481,mast,桅杆；杆vt.扯帆
482,violation,违犯；侵犯，妨碍
483,towards,为了，有助于
484,enclosure,围绕；围场，围栏
485,catalogue,为…编目录
486,violate,违犯，违背；侵犯
487,subtle,微妙的；精巧的
488,plead,为…辩护vi.抗辩
489,microprocessor,微信息处理机
490,calculus,微积分；结石
491,awful,威严的；令人崇敬的
492,atom,微粒；微量
493,microwave,微波
494,negligible,微不足道的
495,majesty,威严，尊严；陛下
496,gleam,微光vi.发微光
497,endanger,危及，危害
498,prestige,威望，威信，声望
499,peril,危机；危险的事物
500,crisis,危机；转折点
501,dismiss,忘掉
502,fro,往，去，回，向后
503,mesh,网眼，筛孔，网络
504,web,网，丝，网状物
505,network,网络；广播网
506,trifle,玩忽；闲混；嬉耍
507,crooked,弯的，歪的；畸形的
508,stubborn,顽固的；顽强的
509,completion,完成，结束，完满
510,hull,外壳，豆荚；薄膜
511,diplomatic,外交的；有策略的
512,strange,外地的，异乡的
513,alien,外国的n.外国人
514,distort,歪曲，曲解，扭曲
515,twist,歪曲，曲解
516,ile,瓦片，瓷砖；贴砖
517,twatt,瓦(特)
518,elliptical,椭圆的；省略的
519,haul,拖曳；拖运
520,hip,臀部，髋；屋脊
521,devour,吞食；吞灭，毁灭
522,retirement,退休，引退；退隐
523,drawback,退款；妨碍；弊端
524,inference,推论；推断的结果
525,rational,推理的；适度的
526,propulsion,推进，推进力
527,propel,推进，推动
528,recommendation,推荐，介绍；建议
529,overthrow,推翻n.推翻，瓦解
530,impulse,推动，冲力；冲动
531,presumably,推测起来，大概
532,gather,推测，推断
533,shove,推vi.(使劲)推
534,solidarity,团结；休戚相关
535,regiment,团，军团；一大群
536,bandit,土匪，盗匪，歹徒
537,lever,途径，工具，手段
538,overtake,突然袭击，压倒
539,nose,突出部分(如船头等)
540,bald,秃头的；无毛的
541,projector,投影仪；探照灯
542,poll,投票vi.投票
543,dizzy,头晕眼花的，眩晕的
544,steal,偷偷地做，巧取
545,misery,痛苦，悲惨，不幸
546,torment,痛苦vt.折磨
547,thrash,痛打，鞭打vi.打
548,dominant,统治
549,dominate,统治，支配，控制
550,statistics,统计，统计数字
551,identical,同一的；恒等的
552,likeness,同样；类似，相似
553,even,同一日期的
554,homogeneous,同类的；均匀的
555,notify,通知，告知；报告
556,simultaneous,同时的，同时存在的
557,advertise,通知vi.登广告
558,coordinate,同等的n.同等的人
559,popularity,通俗性；普及，流行
560,accessory,同谋a.附属的
561,whilst,同…同时；然而
562,correspondence,通信；符合；对应
563,currency,通货；通用；市价
564,entry,通道；条目
565,inflation,通货膨胀，物价飞涨
566,ordinarily,通常，大概
567,customary,通常的；照惯例的
568,resignation,听从，屈从，顺从
569,hydrocarbon,烃，碳氢化合物
570,blacksmith,铁匠，锻工
571,skip,跳；跳绳；略过
572,ferrous,铁的；亚铁的
573,hop,跳舞；(人)单足跳
574,regulate,调整，调节，对准
575,modulate,调整，调节(声音)
576,overlook,眺望；看漏；宽容
577,settlement,调停；(新)住宅区
578,adjoin,贴近，毗连；靠近
579,mishief,调皮，捣蛋，胡闹
580,questionnaire,调查表，征求意见表
581,Catholic,天主教的n.天主教徒
582,sweetness,甜蜜；新鲜；温和
583,theme,题目；词干；主旋律
584,accord,调和，符合；协议
585,nominate,提名，推荐；任命
586,dessert,甜点心
587,finance,提供资金
588,astronomy,天文学
589,embody,体现；包含，收录
590,nourish,提供养分，养育
591,enhance,提高，增加；夸张
592,elevate,提高(思想)；抬高
593,raise,提出，发起，发出
594,introduce,提出(议案等)
595,peculiarity,特性，独特性；怪癖
596,purify,提纯，精炼(金属)
597,individual,特殊的
598,essential,特发的；自发的
599,bore,讨厌的人；麻烦事
600,flee,逃走vt.逃避
601,earthenware,陶器
602,outlaw,逃犯，歹徒
603,wade,趟(河)，跋涉
604,probe,探针vt.用探针探查
605,expedition,探险；探险队
606,charcoal,炭，木炭；生物炭
607,plain,坦白的；普通的
608,greed,贪心，贪婪
609,negotiate,谈判，交涉，议定
610,pedal,踏脚，踏板，脚蹬
611,moss,苔藓，地衣
612,thereof,它的，其；由此
613,trivial,琐碎的；平常的
614,detail,琐碎，小事
615,concern,所关切的事；商行
616,what,所…的，尽可能多的
617,miniature,缩影a.缩小的
618,hurt,损伤，伤害，创伤
619,deformation,损坏；变形；畸形
620,deform,损坏…的形状
621,replace,送还，归还，赔还
622,scrap,碎片；废料vt.废弃
623,plastic,塑料的；塑性的
624,shorthand,速记，速记法
625,garlic,蒜，大蒜
626,perish,死亡，夭折；枯萎
627,fscioutvt,穗搜索毛，边侦察边，缘跟踪
628,random,随机a.随机的
629,laundry,送洗衣店去洗的东西
630,hiss,嘶嘶声vi.嘶嘶作声
631,loosely,松松地，松散地
632,rip,撕啐，扯破，划破
633,rear,饲养，培植；抚养
634,speculate,思索，沉思；投机
635,smuggle,私运vi.走私
636,confidence,私房话，秘密，机密
637,velvet,丝绒制的；柔软的
638,treasurer,司库，财务主管
639,exposition,说明，解释；陈列
640,observe,说，评述，评论
641,preach,说教，布道；鼓吹
642,momentary,瞬息间的，片刻的
643,instantaneous,瞬间的，即刻的
644,couch,睡椅，长沙发椅
645,slumber,睡眠；沉睡状态
646,numerical,数字的，数值的
647,buffalo,水牛；水陆坦克
648,rinse,涮，嗽；冲洗
649,hydraulic,水力的；水力学的
650,harp,竖琴；天琴座
651,watery,水的；湿的；乏味的
652,reckon,数，算帐vt.认为
653,wrestle,摔交；斗争，搏斗
654,terminology,术语学，术语
655,proficient,熟练的，精通的
656,proficiency,熟练，精通
657,erect,竖起的
658,manuscript,手稿，底稿，原稿
659,input,输入n.输入
660,dependant,受赡养者；侍从
661,grant,授予物，拨款
662,handbook,手册，便览，指南
663,miser,守财奴，吝啬鬼
664,adoption,收养；采纳，采取
665,trolley,手推车；无轨电车
666,oath,誓言，誓约，宣誓
667,vow,誓言，誓约，许愿
668,wholesome,适合卫生的
669,revenue,收入；收入数目
670,indoor,室内的；室内进行的
671,pledge,誓言vt.使发誓
672,moderately,适度地，适中
673,fitness,适当，恰当；健康
674,vision,视力；眼光，想象力
675,fitting,适当的n.配合
676,snob,势利小人
677,occurrence,事故
678,snobbish,势利的，谄上欺下的
679,influence,势力，权势
680,attendant,侍者；护理人员
681,municipal,市的，市立的
682,automate,使自动化
683,conform,使遵守vi.一致
684,divert,使转向vi.转移
685,specialize,使专门化，专业化
686,hazard,使遭危险n.危险
687,standardize,使与标准比较
688,distinguish,使显出特色，使杰出
689,lengthen,使延长vi.变长
690,evaporate,使脱水vi.发散蒸气
691,shame,使羞愧，玷辱
692,resign,使顺从，使听任于
693,freshen,使显得新鲜
694,perfect,使熟练，使改善
695,ventilate,使通风，使换气
696,infect,使受影响
697,soften,使软化vi.变软弱
698,blaze,使燃烧vi.燃烧
699,acquaint,使认识，使了解
700,facilitate,使容易；助长
701,lubricate,使润滑vi.加润滑油
702,paralyse,使麻痹，使瘫痪
703,subdue,使屈服，征服
704,sorrowful,使人伤心的；悲伤的
705,suit,使配合vi.彼此协调
706,subject,使隶属
707,confront,使面对；使对证
708,insulate,使绝缘，使绝热
709,bend,使屈从vi.屈从
710,deafen,使聋；使隔音
711,integrate,使结合，使并入
712,tiresome,使人厌倦的，讨厌的
713,moor,使停泊；使固定
714,terrify,使恐怖，使惊吓
715,alternate,使交替a.交替的
716,minimize,使减到最小
717,mingle,使混合vi.混合起来
718,interconnect,使互相联系
719,reconcile,使和好；调停
720,enrich,使富裕；使丰富
721,degrade,使降给；使堕落
722,embarrass,使负债；使复杂化
723,oblige,使感激；施恩惠于
724,decay,使腐朽，使腐烂
725,contrast,使对比vi.形成对比
726,mature,使成熟vi.成熟
727,tangle,使缠结，使纠缠
728,ice,使成冰vi.结冰
729,overload,使超载
730,develop,使(颜色等)显现
731,sweeten,使变甜vi.变甜
732,nourishment,食物；营养(情况)
733,thicken,使变厚(或粗、密)
734,experimentation,实验，试验；实验法
735,jog,使(马等)缓步行进
736,virtual,实际上的，实质上的
737,establish,使…被永久地接受
738,baffle,使挫折n.迷惑
739,engage,使(齿轮等)啮合
740,execution,实行，执行；处死刑
741,vector,矢量；飞机航线
742,quartz,石英
743,pantry,食品柜，餐具室
744,whitewash,石灰水vt.粉饰
745,experimentally,实验上，实验性
746,limestone,石灰石
747,graphite,石墨，石墨电极
748,humidity,湿气；湿度
749,verse,诗，韵文；诗行
750,handout,施舍物，救济品
751,unemployment,失业；失业人数
752,disgrace,失宠，耻辱，丢脸
753,residual,剩余的；残数的
754,remainder,剩余(物)；余数
755,stiff,生硬的
756,excel,胜过vi.杰出
757,hide,生皮，兽皮，皮革
758,ecology,生态学；个体生态学
759,vital,生命的，生机的
760,producer,生产者；舞台监督
761,productive,生产的；出产…的
762,hoist,升起vi.扯起来
763,productivity,生产率；多产
764,deliberately,审慎地，故意地
765,kidney,肾，腰子；性格
766,censor,审查，检查
767,shrine,神殿，神龛，圣祠
768,mystery,神秘小说，侦探小说
769,deliberate,深思熟虑的；审慎的
770,profound,深刻的；渊博的
771,trench,深沟；壕沟，战壕
772,editorial,社论，期刊的社论
773,photography,摄影术
774,sociology,社会学
775,conceive,设想，以为；怀孕
776,divine,神的；敬神的
777,reject,舍弃，抛弃；排斥
778,serpent,蛇(尤指大蛇或毒蛇)
779,maid,少女；处女
780,maiden,少女，未婚女子
781,extravagant,奢侈的；过度的
782,scorch,烧焦，枯萎；挖苦
783,context,上下文；来龙去脉
784,Heaven,上帝，神
785,counsel,商议；忠告；律师
786,trader,商人；商船
787,tradesman,商人；手艺人
788,dealer,商人，贩子；发牌者
789,merchandise,商品，货物
790,blue,伤心的；下流的
791,ware,商品，货物；物品
792,shark,鲨鱼；贪婪狡猾的人
793,goodness,善良，善行，美德
794,gravel,砂跞；砂砾层；结石
795,underwear,衫衣，内衣，贴身衣
796,sardine,沙丁鱼
797,cancel,删去，勾销，取消
798,tone,色调，光度；风气
799,gap,山口，山峡；差距
800,scan,扫描，扫掠
801,sift,筛，过滤vi.通过
802,uproar,骚动，扰乱；喧嚣
803,stroll,散步，溜达，闲逛
804,choice,入选者a.优等的
805,triangular,三角的；三者间的
806,prose,散文
807,emission,散发；传播；发出物
808,tolerant,容忍的；有耐力的
809,mute,弱音器；闭止音
810,commodity,日用品，商品，物品
811,routine,日常的n.常规
812,deem,认为，相信vi.想
813,recognition,认出，识别；重视
814,merciful,仁慈的，宽大的
815,awake,认识到
816,undertaking,任务，事业；承担
817,identification,认出，鉴定；身份证
818,personnel,人事部门
819,pitch,人造树脂
820,hostage,人质，抵押品
821,humanity,人类；人性，人情
822,thermal,热的；温泉的
823,tropic,热带地区；回归线
824,personality,人格，个性；人物
825,tropical,热带的；炎热的
826,concession,让步，迁就
827,combustion,燃烧；氧化；骚动
828,flock,群集，聚集
829,whisker,髯，连鬓胡子
830,conviction,确信，信服，深信
831,certainty,确实性，确信，确实
832,deficiency,缺乏；不足之数
833,quantify,确定…的数量
834,deficient,缺乏的；欠缺的
835,positively,确定的，断然
836,claim,权利，所有权
837,scarcity,缺乏，不足，萧条
838,late,去世不久的
839,flaw,缺点，瑕疵；裂隙
840,extract,取出；榨取n.摘录
841,induce,劝诱；引起；感应
842,crank,曲柄vi.转动曲柄
843,dissipate,驱散；浪费vi.消散
844,persuasion,劝说，说服；主张
845,expel,驱逐，开除；排出
846,spherical,球形的，球面的
847,Jupiter,丘庇特；木星
848,sight,情景，名胜，风景
849,mistress,情妇，情人
850,plea,请愿，请求，恳求
851,mosque,清真寺
852,petition,请愿vt.向…请愿
853,cleanliness,清洁
854,global,球面的；全球的
855,rap,轻敲击声vt.敲击
856,inclination,倾斜，点头；斜坡
857,rash,轻率的；鲁莽的
858,admiration,钦佩；赞美，羡慕
859,bronze,青铜色
860,slit,切开n.狭长的切口
861,industrious,勤劳的，勤奋的
862,section,切下的部分
863,agreeable,惬意的；同意的
864,hardy,强壮的，耐劳的
865,compulsory,强迫的，义务的
866,denounce,谴责，声讨；告发
867,segment,切片，部分；段，节
868,mighty,强大的；巨大的
869,constraint,强迫，结束；强制力
870,pious,虔诚的；虔奉宗教的
871,lobby,前厅，(剧院的)门廊
872,consistent,前后一致的，连贯的
873,thoughtless,欠考虑的；自私的
874,predecessor,前辈，前任者
875,visa,签证
876,migrate,迁移，移居
877,gracious,谦和的
878,modesty,谦逊；端庄；羞怯
879,pertinent,恰当的；有关的
880,siren,汽笛，警报器
881,utensil,器皿，用具
882,maple,槭树，枫树
883,kilowatt,千瓦(特)
884,follower,契据的附面；从动件
885,apt,恰当的；聪明的
886,garage,汽车修理站；飞机库
887,motel,汽车游客旅馆
888,pant,气喘
889,hitherto,迄今，到目前为止
890,jack,起重器；传动装置
891,motorway,"汽车道，快车路,sitting-"
892,room,起居室
893,barometer,气压计，睛雨表
894,scratch,起跑线，起步线
895,count,起拆理由，罪状
